Species,Sex,Type,Contra_Behavioural_N,Contra_InfectDisease_N,Contra_NonInfectDisease_N,Contra_ChronDisease_N,Contra_deathAtBirth_N,Contra_Multiple_N,Contra_Other_N,Contra_Total_N,noContra_Behavioural_N,noContra_InfectDisease_N,noContra_NonInfectDisease_N,noContra_ChronDisease_N,noContra_deathAtBirth_N,noContra_Multiple_N,noContra_Other_N,noContra_Total_N,Contra_Behavioural_Low,Contra_InfectDisease_Low,Contra_NonInfectDisease_Low,Contra_ChronDisease_Low,Contra_deathAtBirth_Low,Contra_Multiple_Low,Contra_Other_Low,noContra_Behavioural_Low,noContra_InfectDisease_Low,noContra_NonInfectDisease_Low,noContra_ChronDisease_Low,noContra_deathAtBirth_Low,noContra_Multiple_Low,noContra_Other_Low,Contra_Behavioural_Med,Contra_InfectDisease_Med,Contra_NonInfectDisease_Med,Contra_ChronDisease_Med,Contra_deathAtBirth_Med,Contra_Multiple_Med,Contra_Other_Med,noContra_Behavioural_Med,noContra_InfectDisease_Med,noContra_NonInfectDisease_Med,noContra_ChronDisease_Med,noContra_deathAtBirth_Med,noContra_Multiple_Med,noContra_Other_Med,Contra_Behavioural_Upp,Contra_InfectDisease_Upp,Contra_NonInfectDisease_Upp,Contra_ChronDisease_Upp,Contra_deathAtBirth_Upp,Contra_Multiple_Upp,Contra_Other_Upp,noContra_Behavioural_Upp,noContra_InfectDisease_Upp,noContra_NonInfectDisease_Upp,noContra_ChronDisease_Upp,noContra_deathAtBirth_Upp,noContra_Multiple_Upp,noContra_Other_Upp
Macaca fuscata,Female,Hormonal,2,0,6,1,1,0,9,19,5,1,20,4,0,0,52,82,0,0,0.142857143,0,0,0,0,0.261538462,0.055555556,0.058823529,0,0,0,0.411538462,0,0,0.298701299,0,0.076923077,0,0.341880342,0.287002653,0.055555556,0.217777778,0.037037037,0,0,0.751265562,0.238095238,0,0.688311688,0,0.076923077,0,0.708473558,0.287002653,0.055555556,0.535651747,0.162878788,0,0,0.893778742
Macaca fuscata,Male,Surgical,1,1,1,3,0,0,10,16,6,1,7,4,0,0,32,50,0,0,0,0,NA,0,0.166666667,0.047619048,0,0,0.095238095,NA,0,0.335614669,0.166666667,0,0,0,NA,0,0.5,0.25269523,0,0.166865079,0.142857143,NA,0,0.749887179,0.166666667,0.142857143,0,0.166666667,NA,0,0.777777778,0.346108326,0.090909091,0.422936852,0.265306122,NA,0,0.974207115
Macaca leonina,Male,Surgical,2,0,1,1,0,0,4,8,0,1,0,1,0,0,6,8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Macaca mulatta,Male,Surgical,0,0,0,1,0,0,2,3,8,3,7,5,0,0,30,53,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Macaca nemestrina,Female,Hormonal,0,0,0,0,0,0,4,4,1,3,4,2,0,0,34,44,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Macaca nemestrina,Male,Surgical,0,1,1,0,0,0,0,2,2,1,3,3,0,0,18,27,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Macaca nigra,Female,Hormonal,2,1,5,0,0,0,13,21,5,8,5,5,0,0,24,47,0,0,0,0,0,0,0.2,0.076923077,0.16875,0,0.052631579,0,0,0.372911918,0.090909091,0,0.173553719,0,0,0,0.504132231,0.189140271,0.275888889,0.066666667,0.105263158,0,0,0.589952324,0.318181818,0.111111111,0.39738292,0,0,0,0.936245573,0.394558069,0.538379167,1,0.30764411,0,0,0.932715562
Macaca nigra,Male,Surgical,1,0,1,1,0,0,15,18,1,5,4,0,0,0,40,50,0,0,0,0.111111111,NA,0,0.375,0.066666667,0.183333333,0.066666667,0,NA,0,0.456701015,0,0,0,0.111111111,NA,0,0.96875,0.066666667,0.241666667,0.066666667,0,NA,0,0.81104926,0.2,0,0,0.111111111,NA,0,0.9921875,0.066666667,0.3175,0.183333333,0,NA,0,0.959860487
Macaca silenus,Female,Hormonal,2,1,1,0,1,0,4,9,8,11,11,1,1,0,64,96,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Macaca silenus,Male,Hormonal,0,0,1,0,0,0,3,4,11,6,11,3,0,0,86,117,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Macaca silenus,Male,Surgical,0,3,3,0,0,0,8,14,10,3,9,3,0,0,79,104,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Macaca sylvanus,Female,Hormonal,9,3,2,0,0,0,16,30,24,13,8,8,4,0,79,136,0.071428571,0,0,0,0,0,0.108024691,0.195662483,0.108595405,0.039663462,0,0,0,0.456815429,0.566921419,0.183333333,0.173553719,0,0,0,0.570354458,0.356849168,0.219501371,0.11363671,0.024390244,0.053954176,0,0.752537284,0.653537135,0.455555556,0.173553719,0,0,0,1,0.534733621,0.294415302,0.21212152,0.334807754,0.121092912,0,0.897502077
Macaca sylvanus,Male,Surgical,13,4,3,3,0,0,6,29,18,16,6,5,0,0,54,99,0.25,0.058823529,0.0625,0,NA,0,0.076923077,0.134921638,0.067460317,0,0.045454545,NA,0,0.318248652,0.353316327,0.173241061,0.0625,0.071428571,NA,0,0.134615385,0.336849197,0.216548798,0.038461538,0.045454545,NA,0,0.673126352,0.587103079,0.242137639,0.270833333,0.204081633,NA,0,0.400887574,0.536067339,0.605163373,0.23513986,0.299109981,NA,0,0.898964982
Macaca tonkeana,Female,Hormonal,2,1,1,1,0,0,7,12,0,1,2,0,0,0,8,11,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Macaca tonkeana,Male,Surgical,0,1,2,1,0,0,5,9,0,0,3,0,0,0,5,8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Macropus fuliginosus,Male,Surgical,0,0,3,1,0,0,19,23,9,19,7,5,0,0,68,108,0,0,0,0,NA,0,0.5,0.025641026,0.149682612,0.01754386,0.027777778,NA,0,0.417926435,0,0,0,0,NA,0,0.705387205,0.115598528,0.330204715,0.01754386,0.087037037,NA,0,0.643511839,0,0,0,0.125,NA,0,0.837053664,0.321651231,0.469034112,0.060259344,0.20496142,NA,0,0.858463255
Macropus giganteus,Male,Surgical,1,1,4,0,0,0,18,24,29,16,6,3,0,0,290,344,0,0,0,0,NA,0,0,0.041493748,0.031712963,0.00990099,0.01,NA,0,0.203183778,0,0.076923077,0,0,NA,0,0,0.176830803,0.043521341,0.022594567,0.022375,NA,0,0.8522712,0,0.076923077,0.318181818,0,NA,0,0.508723958,0.361845413,0.255678421,0.055174748,0.022375,NA,0,0.986783732
Mandrillus sphinx,Female,Hormonal,11,4,9,3,1,0,20,48,17,10,9,2,2,0,72,112,0.128634441,0,0.047619048,0.045454545,0,0,0.090909091,0.184331034,0.047619048,0,0,0,0,0.42632723,0.36431761,0.109375,0.103641457,0.09569378,0.058823529,0,0.39014567,0.265957248,0.219338273,0.09124424,0,0.061523438,0,0.707442638,0.509616442,0.109375,0.346405229,0.152212919,0.058823529,0,0.702696014,0.455388246,0.279746621,0.249327528,0.078369906,0.061523438,0,0.873508818
