Species,Sex,Type,Ncontra,NnoContra,minAge,LifeExpNoContra,SEnoContra,LifeExpContra,SEcontra,pHazGamma,pHazGammaSE,pHazGammaLow,pHazGammaUpp
Pan troglodytes,Female,Hormonal,359,659,9,32.15657933,0.920550589,32.83519934,1.384964677,-0.059484724,0.142646961,-0.336849619,0.217048489
Pan troglodytes,Female,Surgical,49,603,14,28.30729458,0.91484116,32.24461231,2.622541265,-0.379284093,0.262919402,-0.932245453,0.106162531
Pan troglodytes,Male,Surgical,226,430,14,22.39304127,0.918798586,30.20170138,1.952075944,-0.674508987,0.174924257,-1.036157778,-0.346343762
Panthera leo,Female,Hormonal,289,1307,4,11.72239253,0.192445434,13.21668236,0.413486244,-0.351837253,0.10592668,-0.561994996,-0.154870995
Panthera leo,Female,Surgical,152,1307,4,11.68035709,0.194152406,12.48630091,0.454559181,-0.18843886,0.112417338,-0.420313113,0.033769202
Panthera leo,Male,Surgical,177,1311,2,13.43957148,0.221480992,13.06212868,0.474161759,0.08438695,0.11127583,-0.13434679,0.297946314
Panthera onca,Female,Hormonal,35,374,3,14.75649021,0.364323941,14.60548008,0.960340503,0.034924983,0.240055966,-0.46886801,0.484316464
Panthera tigris,Female,Surgical,43,551,5,10.93074162,0.271077401,12.22097677,0.763718499,-0.342591933,0.209636688,-0.763948199,0.059359659
Panthera tigris,Female,Surgical,43,551,5,10.93074162,0.271077401,12.22097677,0.763718499,-0.342591933,0.209636688,-0.763948199,0.059359659
Panthera tigris,Female,Surgical,43,551,5,10.93074162,0.271077401,12.22097677,0.763718499,-0.342591933,0.209636688,-0.763948199,0.059359659
Papio hamadryas,Female,Hormonal,370,979,5,13.61774631,0.352554788,17.62003183,0.604841294,-0.590414575,0.100059727,-0.79118908,-0.394291248
Papio hamadryas,Female,Surgical,134,828,7,12.27547243,0.350808014,15.4954977,0.865418031,-0.487253767,0.136463485,-0.749385936,-0.226697907
Papio hamadryas,Male,Surgical,179,945,5,11.76214703,0.33223604,14.00141066,0.864431326,-0.321924659,0.12925117,-0.563871905,-0.071814399
Papio papio,Female,Hormonal,41,188,4,15.15394759,0.77700205,15.15102656,1.59067144,-0.000385481,0.280240719,-0.566921629,0.526799938
Papio papio,Male,Surgical,49,133,5,14.235867,0.850642483,13.52407947,1.88370959,0.130013635,0.354393122,-0.59474287,0.802301171
Pecari tajacu,Male,Surgical,77,322,5,11.84941531,0.498729156,12.98461016,1.042757897,-0.202828323,0.206180844,-0.619338975,0.189981564
Petaurus breviceps,Male,Surgical,105,848,1,7.069580164,0.211457424,6.667682615,0.514113309,0.099529949,0.133591629,-0.163160465,0.355054465
