"Ages","ple","event","type","sex","species","ctype","order","minAge"
7.88670666666666,0.799425089998435,1,"Not contracepted","Female","Canis lupus","Surgical","Carnivora",4
7.90430666666676,0.799425089998435,0,"Not contracepted","Female","Canis lupus","Surgical","Carnivora",4
7.98000000000002,0.799425089998435,0,"Not contracepted","Female","Canis lupus","Surgical","Carnivora",4
7.98000000000002,0.799425089998435,0,"Not contracepted","Female","Canis lupus","Surgical","Carnivora",4
8.00022999999989,0.795918839603705,1,"Not contracepted","Female","Canis lupus","Surgical","Carnivora",4
8.02999999999997,0.792412589208975,1,"Not contracepted","Female","Canis lupus","Surgical","Carnivora",4
8.05999999999995,0.792412589208975,0,"Not contracepted","Female","Canis lupus","Surgical","Carnivora",4
8.18000000000006,0.788890755479157,1,"Not contracepted","Female","Canis lupus","Surgical","Carnivora",4
8.19500666666665,0.788890755479157,0,"Not contracepted","Female","Canis lupus","Surgical","Carnivora",4
8.2500599999999,0.785353128772973,1,"Not contracepted","Female","Canis lupus","Surgical","Carnivora",4
8.26999999999998,0.785353128772973,0,"Not contracepted","Female","Canis lupus","Surgical","Carnivora",4
8.33000000000015,0.781831365863677,1,"Not contracepted","Female","Canis lupus","Surgical","Carnivora",4
8.34462666666674,0.781831365863677,0,"Not contracepted","Female","Canis lupus","Surgical","Carnivora",4
8.3551066666668,0.781831365863677,0,"Not contracepted","Female","Canis lupus","Surgical","Carnivora",4
8.41529666666674,0.781831365863677,0,"Not contracepted","Female","Canis lupus","Surgical","Carnivora",4
8.43000000000006,0.778261359626856,1,"Not contracepted","Female","Canis lupus","Surgical","Carnivora",4
8.46000000000004,0.778261359626856,0,"Not contracepted","Female","Canis lupus","Surgical","Carnivora",4
8.55000000000018,0.778261359626856,0,"Not contracepted","Female","Canis lupus","Surgical","Carnivora",4
8.56000000000017,0.778261359626856,0,"Not contracepted","Female","Canis lupus","Surgical","Carnivora",4
8.57491333333349,0.778261359626856,0,"Not contracepted","Female","Canis lupus","Surgical","Carnivora",4
8.59000000000015,0.778261359626856,0,"Not contracepted","Female","Canis lupus","Surgical","Carnivora",4
8.59999999999991,0.774674901748392,1,"Not contracepted","Female","Canis lupus","Surgical","Carnivora",4
8.63000000000011,0.774674901748392,0,"Not contracepted","Female","Canis lupus","Surgical","Carnivora",4
8.63000000000011,0.774674901748392,0,"Not contracepted","Female","Canis lupus","Surgical","Carnivora",4
8.63000000000011,0.774674901748392,0,"Not contracepted","Female","Canis lupus","Surgical","Carnivora",4
8.66641333333342,0.771071762670492,1,"Not contracepted","Female","Canis lupus","Surgical","Carnivora",4
8.71000000000004,0.771071762670492,0,"Not contracepted","Female","Canis lupus","Surgical","Carnivora",4
8.72000000000003,0.767468623592593,1,"Not contracepted","Female","Canis lupus","Surgical","Carnivora",4
8.77999999999997,0.763899002087511,1,"Not contracepted","Female","Canis lupus","Surgical","Carnivora",4
8.82273785078707,0.763899002087511,0,"Not contracepted","Female","Canis lupus","Surgical","Carnivora",4
8.90000000000009,0.760394878224724,1,"Not contracepted","Female","Canis lupus","Surgical","Carnivora",4
8.93973333333341,0.760394878224724,0,"Not contracepted","Female","Canis lupus","Surgical","Carnivora",4
8.93981000000005,0.756874531566276,1,"Not contracepted","Female","Canis lupus","Surgical","Carnivora",4
8.96000000000004,0.753354184907829,1,"Not contracepted","Female","Canis lupus","Surgical","Carnivora",4
8.98000000000002,0.749833838249381,1,"Not contracepted","Female","Canis lupus","Surgical","Carnivora",4
9.00472333333334,0.749833838249381,0,"Not contracepted","Female","Canis lupus","Surgical","Carnivora",4
9.02600333333336,0.746329941808963,1,"Not contracepted","Female","Canis lupus","Surgical","Carnivora",4
9.08936666666659,0.746329941808963,0,"Not contracepted","Female","Canis lupus","Surgical","Carnivora",4
9.15000000000009,0.742809517555147,1,"Not contracepted","Female","Canis lupus","Surgical","Carnivora",4
9.19000000000005,0.742809517555147,0,"Not contracepted","Female","Canis lupus","Surgical","Carnivora",4
9.2678799999999,0.739272329376313,1,"Not contracepted","Female","Canis lupus","Surgical","Carnivora",4
9.31999999999994,0.735735141197479,1,"Not contracepted","Female","Canis lupus","Surgical","Carnivora",4
9.36990000000012,0.7322482447937,1,"Not contracepted","Female","Canis lupus","Surgical","Carnivora",4
9.40969666666675,0.72876134838992,1,"Not contracepted","Female","Canis lupus","Surgical","Carnivora",4
9.41000000000008,0.72876134838992,0,"Not contracepted","Female","Canis lupus","Surgical","Carnivora",4
9.50916333333332,0.725257688061122,1,"Not contracepted","Female","Canis lupus","Surgical","Carnivora",4
9.50999999999999,0.721754027732325,1,"Not contracepted","Female","Canis lupus","Surgical","Carnivora",4
9.54384333333331,0.718250367403527,1,"Not contracepted","Female","Canis lupus","Surgical","Carnivora",4
9.60000000000014,0.718250367403527,0,"Not contracepted","Female","Canis lupus","Surgical","Carnivora",4
9.62928000000003,0.714746707074729,1,"Not contracepted","Female","Canis lupus","Surgical","Carnivora",4
9.63000000000011,0.714746707074729,0,"Not contracepted","Female","Canis lupus","Surgical","Carnivora",4
9.63000000000011,0.714746707074729,0,"Not contracepted","Female","Canis lupus","Surgical","Carnivora",4
9.70000000000005,0.711277062865629,1,"Not contracepted","Female","Canis lupus","Surgical","Carnivora",4
9.71000000000004,0.707807418656528,1,"Not contracepted","Female","Canis lupus","Surgical","Carnivora",4
9.72000000000003,0.704337774447427,1,"Not contracepted","Female","Canis lupus","Surgical","Carnivora",4
9.73129666666674,0.704337774447427,0,"Not contracepted","Female","Canis lupus","Surgical","Carnivora",4
9.76085000000005,0.704337774447427,0,"Not contracepted","Female","Canis lupus","Surgical","Carnivora",4
9.77000000000021,0.700885138298175,1,"Not contracepted","Female","Canis lupus","Surgical","Carnivora",4
9.79999999999995,0.697432502148923,1,"Not contracepted","Female","Canis lupus","Surgical","Carnivora",4
9.79999999999995,0.69399687405952,1,"Not contracepted","Female","Canis lupus","Surgical","Carnivora",4
9.82000000000016,0.69399687405952,0,"Not contracepted","Female","Canis lupus","Surgical","Carnivora",4
9.8900000000001,0.69399687405952,0,"Not contracepted","Female","Canis lupus","Surgical","Carnivora",4
9.8900000000001,0.69399687405952,0,"Not contracepted","Female","Canis lupus","Surgical","Carnivora",4
9.8900000000001,0.69399687405952,0,"Not contracepted","Female","Canis lupus","Surgical","Carnivora",4
9.91000000000008,0.69399687405952,0,"Not contracepted","Female","Canis lupus","Surgical","Carnivora",4
9.91199333333341,0.69399687405952,0,"Not contracepted","Female","Canis lupus","Surgical","Carnivora",4
10.0500000000002,0.690544153293054,1,"Not contracepted","Female","Canis lupus","Surgical","Carnivora",4
10.0900000000001,0.687091432526589,1,"Not contracepted","Female","Canis lupus","Surgical","Carnivora",4
10.1200000000001,0.683638711760124,1,"Not contracepted","Female","Canis lupus","Surgical","Carnivora",4
10.3701000000001,0.680185990993659,1,"Not contracepted","Female","Canis lupus","Surgical","Carnivora",4
10.4100000000001,0.676733270227193,1,"Not contracepted","Female","Canis lupus","Surgical","Carnivora",4
10.48,0.673280549460728,1,"Not contracepted","Female","Canis lupus","Surgical","Carnivora",4
10.4899999999998,0.669827828694263,1,"Not contracepted","Female","Canis lupus","Surgical","Carnivora",4
10.49,0.666375107927798,1,"Not contracepted","Female","Canis lupus","Surgical","Carnivora",4
10.5,0.662940184691056,1,"Not contracepted","Female","Canis lupus","Surgical","Carnivora",4
10.52,0.659505261454315,1,"Not contracepted","Female","Canis lupus","Surgical","Carnivora",4
10.5380233333334,0.656070338217574,1,"Not contracepted","Female","Canis lupus","Surgical","Carnivora",4
10.5508766666668,0.656070338217574,0,"Not contracepted","Female","Canis lupus","Surgical","Carnivora",4
10.5700000000002,0.656070338217574,0,"Not contracepted","Female","Canis lupus","Surgical","Carnivora",4
10.5799999999999,0.652635414980833,1,"Not contracepted","Female","Canis lupus","Surgical","Carnivora",4
10.6000000000001,0.652635414980833,0,"Not contracepted","Female","Canis lupus","Surgical","Carnivora",4
10.6100000000001,0.652635414980833,0,"Not contracepted","Female","Canis lupus","Surgical","Carnivora",4
10.6200000000001,0.649182317547072,1,"Not contracepted","Female","Canis lupus","Surgical","Carnivora",4
10.6407233333333,0.645783457245778,1,"Not contracepted","Female","Canis lupus","Surgical","Carnivora",4
10.6501800000001,0.642384596944485,1,"Not contracepted","Female","Canis lupus","Surgical","Carnivora",4
10.6549433333333,0.638985736643191,1,"Not contracepted","Female","Canis lupus","Surgical","Carnivora",4
10.6599999999999,0.635586876341897,1,"Not contracepted","Female","Canis lupus","Surgical","Carnivora",4
10.6700000000001,0.635586876341897,0,"Not contracepted","Female","Canis lupus","Surgical","Carnivora",4
10.6700000000001,0.635586876341897,0,"Not contracepted","Female","Canis lupus","Surgical","Carnivora",4
10.6700000000001,0.635586876341897,0,"Not contracepted","Female","Canis lupus","Surgical","Carnivora",4
10.6700000000001,0.635586876341897,0,"Not contracepted","Female","Canis lupus","Surgical","Carnivora",4
10.7327466666667,0.635586876341897,0,"Not contracepted","Female","Canis lupus","Surgical","Carnivora",4
10.7627166666667,0.635586876341897,0,"Not contracepted","Female","Canis lupus","Surgical","Carnivora",4
10.77199,0.632169742598124,1,"Not contracepted","Female","Canis lupus","Surgical","Carnivora",4
10.7947300000001,0.632169742598124,0,"Not contracepted","Female","Canis lupus","Surgical","Carnivora",4
10.8399999999999,0.628734037475308,1,"Not contracepted","Female","Canis lupus","Surgical","Carnivora",4
10.8651900000001,0.628734037475308,0,"Not contracepted","Female","Canis lupus","Surgical","Carnivora",4
11,0.625279454851817,1,"Not contracepted","Female","Canis lupus","Surgical","Carnivora",4
11,0.621843853451533,1,"Not contracepted","Female","Canis lupus","Surgical","Carnivora",4
11.0074966666666,0.618389165376802,1,"Not contracepted","Female","Canis lupus","Surgical","Carnivora",4
11.0700000000002,0.614934477302071,1,"Not contracepted","Female","Canis lupus","Surgical","Carnivora",4
11.0700000000002,0.611499089160719,1,"Not contracepted","Female","Canis lupus","Surgical","Carnivora",4
11.0999999999999,0.608044292046816,1,"Not contracepted","Female","Canis lupus","Surgical","Carnivora",4
11.1100000000001,0.604589494932914,1,"Not contracepted","Female","Canis lupus","Surgical","Carnivora",4
11.14339,0.601134697819012,1,"Not contracepted","Female","Canis lupus","Surgical","Carnivora",4
11.1998633333334,0.597699642402903,1,"Not contracepted","Female","Canis lupus","Surgical","Carnivora",4
11.3499999999999,0.594264586986794,1,"Not contracepted","Female","Canis lupus","Surgical","Carnivora",4
11.4651333333334,0.590829531570686,1,"Not contracepted","Female","Canis lupus","Surgical","Carnivora",4
11.5,0.590829531570686,0,"Not contracepted","Female","Canis lupus","Surgical","Carnivora",4
11.5,0.590829531570686,0,"Not contracepted","Female","Canis lupus","Surgical","Carnivora",4
11.5,0.587414331966231,1,"Not contracepted","Female","Canis lupus","Surgical","Carnivora",4
11.5104766666668,0.5839589535429,1,"Not contracepted","Female","Canis lupus","Surgical","Carnivora",4
11.5104833333333,0.580503575119569,1,"Not contracepted","Female","Canis lupus","Surgical","Carnivora",4
11.6100000000001,0.580503575119569,0,"Not contracepted","Female","Canis lupus","Surgical","Carnivora",4
11.6398433333332,0.577048196696238,1,"Not contracepted","Female","Canis lupus","Surgical","Carnivora",4
11.6456966666666,0.573592818272908,1,"Not contracepted","Female","Canis lupus","Surgical","Carnivora",4
11.6700000000001,0.570137439849577,1,"Not contracepted","Female","Canis lupus","Surgical","Carnivora",4
11.7243000000001,0.566743764612377,1,"Not contracepted","Female","Canis lupus","Surgical","Carnivora",4
11.73,0.563370289823018,1,"Not contracepted","Female","Canis lupus","Surgical","Carnivora",4
11.74,0.559996815033658,1,"Not contracepted","Female","Canis lupus","Surgical","Carnivora",4
11.8800000000001,0.556643540692139,1,"Not contracepted","Female","Canis lupus","Surgical","Carnivora",4
11.9400000000001,0.55329026635062,1,"Not contracepted","Female","Canis lupus","Surgical","Carnivora",4
12.03,0.549957192456942,1,"Not contracepted","Female","Canis lupus","Surgical","Carnivora",4
12.0415533333334,0.546624118563264,1,"Not contracepted","Female","Canis lupus","Surgical","Carnivora",4
12.0693666666666,0.546624118563264,0,"Not contracepted","Female","Canis lupus","Surgical","Carnivora",4
12.0900000000001,0.543270596363489,1,"Not contracepted","Female","Canis lupus","Surgical","Carnivora",4
12.0999999999999,0.539917074163714,1,"Not contracepted","Female","Canis lupus","Surgical","Carnivora",4
12.1508033333334,0.539917074163714,0,"Not contracepted","Female","Canis lupus","Surgical","Carnivora",4
12.1600000000001,0.536542592450191,1,"Not contracepted","Female","Canis lupus","Surgical","Carnivora",4
12.22,0.533168110736668,1,"Not contracepted","Female","Canis lupus","Surgical","Carnivora",4
12.2686933333333,0.529793629023145,1,"Not contracepted","Female","Canis lupus","Surgical","Carnivora",4
12.27,0.526419147309621,1,"Not contracepted","Female","Canis lupus","Surgical","Carnivora",4
12.3,0.523044665596098,1,"Not contracepted","Female","Canis lupus","Surgical","Carnivora",4
12.3500000000001,0.523044665596098,0,"Not contracepted","Female","Canis lupus","Surgical","Carnivora",4
12.3500000000001,0.519670183882575,1,"Not contracepted","Female","Canis lupus","Surgical","Carnivora",4
12.48,0.516273646733016,1,"Not contracepted","Female","Canis lupus","Surgical","Carnivora",4
12.55,0.512877109583456,1,"Not contracepted","Female","Canis lupus","Surgical","Carnivora",4
12.5600000000002,0.512877109583456,0,"Not contracepted","Female","Canis lupus","Surgical","Carnivora",4
12.5600000000002,0.512877109583456,0,"Not contracepted","Female","Canis lupus","Surgical","Carnivora",4
12.6429633333334,0.509434981331218,1,"Not contracepted","Female","Canis lupus","Surgical","Carnivora",4
12.6600000000001,0.505992853078981,1,"Not contracepted","Female","Canis lupus","Surgical","Carnivora",4
12.6700000000001,0.505992853078981,0,"Not contracepted","Female","Canis lupus","Surgical","Carnivora",4
12.6700000000001,0.505992853078981,0,"Not contracepted","Female","Canis lupus","Surgical","Carnivora",4
12.76,0.502503247195677,1,"Not contracepted","Female","Canis lupus","Surgical","Carnivora",4
12.7690133333333,0.499013641312374,1,"Not contracepted","Female","Canis lupus","Surgical","Carnivora",4
12.8,0.495524035429071,1,"Not contracepted","Female","Canis lupus","Surgical","Carnivora",4
12.8100000000002,0.492034429545767,1,"Not contracepted","Female","Canis lupus","Surgical","Carnivora",4
12.8200000000002,0.488544823662464,1,"Not contracepted","Female","Canis lupus","Surgical","Carnivora",4
12.8300000000002,0.485055217779161,1,"Not contracepted","Female","Canis lupus","Surgical","Carnivora",4
12.8400000000001,0.485055217779161,0,"Not contracepted","Female","Canis lupus","Surgical","Carnivora",4
12.8600000000001,0.485055217779161,0,"Not contracepted","Female","Canis lupus","Surgical","Carnivora",4
12.9000000000001,0.481514668744276,1,"Not contracepted","Female","Canis lupus","Surgical","Carnivora",4
12.9104000000001,0.477974119709392,1,"Not contracepted","Female","Canis lupus","Surgical","Carnivora",4
12.9190033333334,0.474433570674508,1,"Not contracepted","Female","Canis lupus","Surgical","Carnivora",4
12.9200000000001,0.470893021639623,1,"Not contracepted","Female","Canis lupus","Surgical","Carnivora",4
12.9249266666667,0.467352472604739,1,"Not contracepted","Female","Canis lupus","Surgical","Carnivora",4
12.9499999999998,0.463811923569854,1,"Not contracepted","Female","Canis lupus","Surgical","Carnivora",4
12.95,0.46027137453497,1,"Not contracepted","Female","Canis lupus","Surgical","Carnivora",4
12.95,0.456757852591955,1,"Not contracepted","Female","Canis lupus","Surgical","Carnivora",4
13.03,0.45321709404473,1,"Not contracepted","Female","Canis lupus","Surgical","Carnivora",4
13.0301266666667,0.449676335497506,1,"Not contracepted","Female","Canis lupus","Surgical","Carnivora",4
13.05,0.446135576950282,1,"Not contracepted","Female","Canis lupus","Surgical","Carnivora",4
13.0599999999999,0.442594818403057,1,"Not contracepted","Female","Canis lupus","Surgical","Carnivora",4
13.1430633333334,0.439054059855833,1,"Not contracepted","Female","Canis lupus","Surgical","Carnivora",4
13.1700000000001,0.435513301308608,1,"Not contracepted","Female","Canis lupus","Surgical","Carnivora",4
13.1700000000001,0.435513301308608,0,"Not contracepted","Female","Canis lupus","Surgical","Carnivora",4
