"Species","Sex","Type","Ncontra","NnoContra","minAge","LifeExpNoContra","SEnoContra","LifeExpContra","SEcontra","pHazGamma","pHazGammaSE","pHazGammaLow","pHazGammaUpp"
"Lycaon pictus","Female","Hormonal",79,328,1,7.03068607209973,0.241771593391529,7.4724516012203,0.54081019812816,-0.142949814480136,0.185559060682339,-0.526099122204641,0.203663365745016
"Lycaon pictus","Female","Surgical",74,328,1,7.07783391525785,0.241151883633592,8.27427795364357,0.539613564717052,-0.398152932643013,0.194751652450243,-0.793293763360332,-0.0263295581070645
"Lycaon pictus","Male","Hormonal",30,312,5,5.14092021943536,0.151591481152156,5.05332899528128,0.512167964561988,0.0486548954765014,0.28012304900327,-0.545188602683284,0.56882867570408
"Lynx lynx","Male","Surgical",23,154,10,7.51407062727516,0.366967180706593,8.15057796237261,0.815426524706846,-0.19950884099604,0.263671636981264,-0.742208625398775,0.283362953537916
"Lynx rufus","Female","Surgical",44,188,6,12.2993000286367,0.453039250695156,12.1641582872537,0.842507757538495,0.0368868295641451,0.247745217161507,-0.459437465084461,0.513762236024844
"Lynx rufus","Male","Surgical",76,233,2,14.1265645226331,0.540155327851344,16.5041967130607,0.774313379436036,-0.565701628621524,0.20739439311,-0.985572604373159,-0.157102735151042
"Macaca fascicularis","Male","Surgical",71,362,4,11.6922879336607,0.858676151328225,13.5504021005124,2.43701171542339,-0.170248251215972,0.225474096297681,-0.626470556746736,0.25621785311598
"Macaca fuscata","Female","Hormonal",82,398,5,17.0071291235814,0.585559647909558,16.0902608158886,1.04491550485371,0.138908759030714,0.17424210257037,-0.206391131654745,0.48193929825834
"Macaca fuscata","Male","Surgical",95,261,7,14.1126363707505,0.801103063237155,15.9609031011595,1.38894006654749,-0.225912023616517,0.190045571727179,-0.602172327830574,0.136562553796515
"Macaca leonina","Male","Surgical",46,60,1,14.7019575053809,2.92233832556741,11.4004425873183,2.74248203040168,0.271866450649487,0.308095327189208,-0.34785573170877,0.871954201489782
"Macaca mulatta","Male","Surgical",119,340,3,16.3817646108971,0.903382660759596,21.9632726673827,1.8517888215836,-0.650343743038775,0.239018409905796,-1.13249799188588,-0.198804247566774
"Macaca nemestrina","Female","Hormonal",30,177,8,13.5114008400958,0.928431624441744,12.4758486671261,2.05757321117801,0.140589089624737,0.289555455652455,-0.433499862864045,0.668595839731708
"Macaca nigra","Female","Hormonal",73,158,4,13.483374171589,0.831720887124213,13.2870506296744,1.20731543121036,0.0255808347295766,0.191177618795833,-0.347633918128157,0.406250221842922
"Macaca nigra","Male","Surgical",58,150,4,10.8692881298167,0.743666955574096,8.9711749051449,1.11953360585517,0.297525498073481,0.209951837705461,-0.117435990902284,0.704068611042927
"Macaca silenus","Female","Hormonal",80,305,4,16.5548823650048,0.740352285475235,17.3970406527537,1.6883960731152,-0.102412028257029,0.224332394461453,-0.552957356422337,0.331084437437251
"Macaca silenus","Male","Hormonal",37,273,5,13.0288365881936,0.675760664362833,13.8020606303537,2.07352487274087,-0.0960000570149238,0.277643012079976,-0.6602213699982,0.413783293469097
"Macaca silenus","Male","Surgical",46,263,6,12.5427578012,0.687901519610489,13.3584719333789,1.53350284301611,-0.106503405763941,0.209108522153577,-0.531960440391014,0.289357079156862
"Macaca sylvanus","Female","Hormonal",237,494,3,12.9255664075955,0.517481353099686,15.1226207473296,0.833827461804617,-0.297579256627461,0.129795139196505,-0.551091929241853,-0.0436934902505492
"Macaca sylvanus","Male","Surgical",235,389,3,11.4960380746267,0.576870618139507,16.6680522273437,1.25421533007497,-0.62832066433826,0.14381351955002,-0.911891541050135,-0.351079284206753
"Macropus fuliginosus","Male","Surgical",89,389,1,6.28949263214034,0.350261465568813,7.69824511880991,0.780957384978285,-0.285456523683752,0.172003648610597,-0.641000992058219,0.054980809226579
"Macropus giganteus","Male","Surgical",91,425,4,6.56712357317396,0.307059879844782,7.93489563874325,0.604919647027948,-0.335833669366653,0.168831109276045,-0.667863596217292,-0.00735493890273201
"Mandrillus sphinx","Female","Hormonal",207,375,3,15.3097331576297,0.619365768295324,18.0952416497576,0.849732344644375,-0.383637673504961,0.136233492387232,-0.651341942094144,-0.119590115565959
"Mandrillus sphinx","Male","Hormonal",38,370,3,12.5232991511348,0.569739870348172,12.0952148860195,1.61572153421433,0.0675030740726367,0.253580715278759,-0.456338943315481,0.548550798720752
"Mandrillus sphinx","Male","Surgical",81,393,2,13.1949623145321,0.555805681866532,13.6098058562052,1.09010975480845,-0.0598012987126269,0.167921518377081,-0.398495676802504,0.258106852599338
"Mephitis mephitis","Male","Surgical",113,375,2,5.09735670394217,0.135355615233001,4.89603651193141,0.231842789561774,0.104662150651003,0.135432355733167,-0.17204292502338,0.359205287217985
"Mungos mungo","Male","Surgical",48,710,1,9.3916980898497,0.278780789582643,8.0175837515017,1.04832651454805,0.31206200008237,0.244527807848453,-0.192377756401013,0.763589791976459
"Muntiacus reevesi","Male","Surgical",64,299,5,5.91789405633677,0.276185355609069,7.48194486555507,0.782700851023897,-0.394989328583189,0.201713565232029,-0.810233593501376,-0.0162149687425566
"Mustela nigripes","Female","Surgical",40,203,4,2.1900705592614,0.0932823929616233,2.24250403758704,0.17103543498012,-0.0600444172148862,0.210692612872037,-0.486772082766488,0.337716610828488
"Mustela nigripes","Male","Surgical",52,423,3,2.61299882635715,0.0773288506551407,2.66352567611505,0.169901714422073,-0.0489601910213317,0.170325993533649,-0.377334474058122,0.284111312537249
"Myocastor coypus","Male","Surgical",38,221,1,2.89614924452045,0.203073920459361,2.82241511161905,0.459628025773209,0.0391640917268458,0.191238105637642,-0.347649710167926,0.393634547339394
"Nasua narica","Male","Surgical",34,122,4,8.5829609052785,0.471674658388939,7.48537702421142,0.698612688960236,0.309345329131492,0.225494025647836,-0.136039269809137,0.74089573057813
