species,Species,Solitary,Social monogamy,Group living,Paternal Care,Testesmass,Bodymass,common,Class,Order,Family,Sex,Type,Ncontra,NnoContra,minAge,LifeExpNoContra,SEnoContra,LifeExpContra,SEcontra,pHazGamma,pHazGammaSE,pHazGammaLow,pHazGammaUpp,unknown
Papio hamadryas,Papio hamadryas,No,No,Yes,No,27.1,20170,Hamadryas baboon,Mammalia,Primates,Cercopithecidae,Male,Surgical,179,945,5,11.76214703,0.33223604,14.00141066,0.864431326,-0.321924659,0.12925117,-0.563871905,-0.071814399,1.190378816
Leptailurus serval,Leptailurus serval,Yes,No,No,No,NA,NA,Serval,Mammalia,Carnivora,Felidae,Male,Surgical,62,439,3,11.36258414,0.347882448,13.59649765,0.772401901,-0.517541847,0.19450247,-0.913976643,-0.142367809,1.196602593
Macropus giganteus,Macropus giganteus,Yes,No,No,No,42.02,40720,Eastern grey kangaroo,Mammalia,Diprotodontia,Macropodidae,Male,Surgical,91,425,4,6.567123573,0.30705988,7.934895639,0.604919647,-0.335833669,0.168831109,-0.667863596,-0.007354939,1.208275671
Osphranter rufus,NA,NA,NA,NA,NA,NA,NA,Red kangaroo,Mammalia,Diprotodontia,Macropodidae,Male,Surgical,221,1959,1,5.70307174,0.119613069,6.925395656,0.34112419,-0.31493227,0.090527245,-0.49285686,-0.139207138,1.214327291
Macropus fuliginosus,NA,NA,NA,NA,NA,NA,NA,Western grey kangaroo,Mammalia,Diprotodontia,Macropodidae,Male,Surgical,89,389,1,6.289492632,0.350261466,7.698245119,0.780957385,-0.285456524,0.172003649,-0.641000992,0.054980809,1.223985076
Callithrix jacchus,Callithrix jacchus,No,Yes,No,Yes,1.3,320,Common marmoset,Mammalia,Primates,Cebidae,Male,Surgical,125,1702,1,7.248132847,0.176843426,9.06800708,0.821018919,-0.32479275,0.141404814,-0.615621324,-0.0568398,1.251081799
Muntiacus reevesi,Muntiacus reevesi,Yes,No,No,No,NA,NA,Chinese muntjac,Mammalia,Artiodactyla,Cervidae,Male,Surgical,64,299,5,5.917894056,0.276185356,7.481944866,0.782700851,-0.394989329,0.201713565,-0.810233594,-0.016214969,1.264291789
Oryx dammah,Oryx dammah,No,No,Yes,No,53.4,129000,Scimitar-horned oryx,Mammalia,Artiodactyla,Bovidae,Male,Surgical,172,1818,2,8.981865831,0.209645888,11.4130228,0.659770416,-0.495600311,0.137646406,-0.766079144,-0.233510403,1.270673935
Procyon lotor,Procyon lotor,Yes,No,No,No,13.72,5130,Raccoon,Mammalia,Carnivora,Procyonidae,Male,Surgical,392,998,1,8.962323546,0.244606101,11.43885259,0.432130885,-0.519358233,0.099667363,-0.715522158,-0.328312632,1.276326673
Desmodus rotundus,Desmodus rotundus,No,No,Yes,No,0.083,33.7,Common vampire bat,Mammalia,Chiroptera,Phyllostomidae,Male,Surgical,69,464,1,11.06619387,0.505375452,14.3101007,1.599832567,-0.511186139,0.266164928,-1.055589789,-0.005041963,1.293136635
Notamacropus parma,NA,NA,NA,NA,NA,NA,NA,Parma wallaby,Mammalia,Diprotodontia,Macropodidae,Male,Surgical,43,748,1,4.663582418,0.156440038,6.031584168,0.711682814,-0.382867536,0.197204042,-0.789798438,-0.010567137,1.293337102
Vulpes vulpes,Vulpes vulpes,No,Yes,No,Yes,9,5069,Red fox,Mammalia,Carnivora,Canidae,Male,Surgical,64,466,1,9.264432242,0.29571312,12.12622748,1.112778264,-0.708317057,0.279065351,-1.274696921,-0.181084134,1.308901308
Macaca mulatta,Macaca mulatta,No,No,Yes,No,46,9200,Rhesus macaque,Mammalia,Primates,Cercopithecidae,Male,Surgical,119,340,3,16.38176461,0.903382661,21.96327267,1.851788822,-0.650343743,0.23901841,-1.132497992,-0.198804248,1.340714703
Pan troglodytes,Pan troglodytes,No,No,Yes,No,128.9,44670,Chimpanzee,Mammalia,Primates,Hominidae,Male,Surgical,226,430,14,22.39304127,0.918798586,30.20170138,1.952075944,-0.674508987,0.174924257,-1.036157778,-0.346343762,1.348709227
