species,order,phylogeny,sex,type,yi,vi,obs_id,sex_type
Macropus rufus,Diprotodontia,Macropus_rufus,female,hormonal,-0.042686388860488075,0.01947321273007415,184,female_hormonal
Muntiacus reevesi,Artiodactyla,Muntiacus_reevesi,female,hormonal,0.08439563723525523,0.0217899844499698,185,female_hormonal
Mustela putorius,Carnivora,Mustela_putorius,female,hormonal,-0.2945091204532564,0.02664484233143369,186,female_hormonal
Nasua nasua,Carnivora,Nasua_nasua,female,hormonal,0.009043742974587187,0.019997884876663985,187,female_hormonal
Octodon degus,Rodentia,Octodon_degus,female,hormonal,0.29829844587883697,0.028217075531014272,188,female_hormonal
Pan paniscus,Primates,Pan_paniscus,female,hormonal,-0.4063491309884245,0.438184337680548,189,female_hormonal
Pan troglodytes,Primates,Pan_troglodytes,female,hormonal,0.15899148820118242,0.004813513713699736,190,female_hormonal
Panthera leo,Carnivora,Panthera_leo,female,hormonal,0.16869549732938885,0.002480861539285425,191,female_hormonal
Panthera onca,Carnivora,Panthera_onca,female,hormonal,0.019543046264004535,0.010320647960576614,192,female_hormonal
Panthera pardus,Carnivora,Panthera_pardus,female,hormonal,0.022713916107909772,0.018945982962395507,193,female_hormonal
Panthera tigris,Carnivora,Panthera_tigris,female,hormonal,-0.01818719554830407,0.004206760152074294,194,female_hormonal
Papio hamadryas,Primates,Papio_hamadryas,female,hormonal,0.2760873033230982,0.0024168070396542243,195,female_hormonal
Papio papio,Primates,Papio_papio,female,hormonal,-0.013074622861801352,0.019043035337489862,196,female_hormonal
Petrogale xanthopus,Diprotodontia,Petrogale_xanthopus,female,hormonal,0.05743042814568393,0.020188342731430532,197,female_hormonal
Phacochoerus africanus,Artiodactyla,Phacochoerus_africanus,female,hormonal,0.07100288600203492,0.0149453352035964,198,female_hormonal
Pithecia pithecia,Primates,Pithecia_pithecia,female,hormonal,0.4566070938991322,0.026794791981629307,199,female_hormonal
Pongo abelii,Primates,Pongo_abelii,female,hormonal,0.2609100676785181,0.0350041985169011,200,female_hormonal
Pongo pygmaeus,Primates,Pongo_pygmaeus,female,hormonal,0.3391481076784537,0.030474051580798633,201,female_hormonal
Potamochoerus porcus,Artiodactyla,Potamochoerus_porcus,female,hormonal,-0.026908720574165275,0.012465175733982457,202,female_hormonal
Propithecus coquereli,Primates,Propithecus_coquereli,female,hormonal,0.7441546206169847,0.04580613607073067,203,female_hormonal
Pteropus rodricensis,Chiroptera,Pteropus_rodricensis,female,hormonal,0.174086036231394,0.01572425492250824,204,female_hormonal
Saguinus bicolor,Primates,Saguinus_bicolor,female,hormonal,0.5377663558697154,0.0420628973389771,205,female_hormonal
Saguinus imperator,Primates,Saguinus_imperator,female,hormonal,0.20154939164894092,0.01107967676663429,206,female_hormonal
Saguinus oedipus,Primates,Saguinus_oedipus,female,hormonal,0.24892364200307399,0.00844784056386296,207,female_hormonal
Saimiri boliviensis,Primates,Saimiri_boliviensis,female,hormonal,-0.217304057598001,0.038995156143694594,208,female_hormonal
Saimiri sciureus,Primates,Saimiri_sciureus,female,hormonal,0.3907331608578281,0.025558014972574088,209,female_hormonal
Sapajus apella,Primates,Sapajus_apella,female,hormonal,0.6795008885190419,0.06225327146100327,210,female_hormonal
Sapajus xanthosternos,Primates,Sapajus_xanthosternos,female,hormonal,0.5618169091266286,0.3378457103457444,211,female_hormonal
Suricata suricatta,Carnivora,Suricata_suricatta,female,hormonal,0.12739904809696886,0.004115795702116034,212,female_hormonal
Symphalangus syndactylus,Primates,Symphalangus_syndactylus,female,hormonal,0.5788248256155081,0.06499769362956564,213,female_hormonal
Tapirus terrestris,Perissodactyla,Tapirus_terrestris,female,hormonal,0.13152416141163484,0.033226055307165624,214,female_hormonal
Theropithecus gelada,Primates,Theropithecus_gelada,female,hormonal,0.15826914450586735,0.08315752992893026,215,female_hormonal
Trachypithecus auratus,Primates,Trachypithecus_auratus,female,hormonal,-0.2550920860858,0.042415222366650455,216,female_hormonal
Trachypithecus cristatus,Primates,Trachypithecus_cristatus,female,hormonal,0.5228849822164238,0.15477508700626882,217,female_hormonal
Trachypithecus francoisi,Primates,Trachypithecus_francoisi,female,hormonal,-0.004814301572054798,0.03954989409283218,218,female_hormonal
